Time,Name,Address,Rating,Website,OpenHours,CuisineType,Latitude,Longitude
9:00 AM,ClusterTruck,"729 N Pennsylvania St, Indianapolis",4.8,https://downtown-indy.clustertruck.com/menu?utm_source=google%20my%20business&utm_medium=search%20listing,8:00 AM - 10:00 AM,Mexican,39.7775861,-86.1556021
12:00 PM,KG Slider Station,"3748 Lafayette Rd, Indianapolis",5,http://www.keysgourmet.com/#!contact-us/clx0,12:00 PM - 8:00 PM,BBQ,39.8229185,-86.2344232
6:00 PM,Emergency Taco Truck,"7001 Pendleton Pike, Indianapolis",4.7,NA,3:00 PM - 10:00 PM,Mexican,39.827233,-86.04525
